Ticker,Ticker_B3,Codigo_Emissor,CD_CVM,CNPJ_CIA,DENOM_CIA,Nome_Pregao,Setor,Subsetor,Segmento_Setorial,Segmento_Listagem,Eh_Estatal,Participacao_Indice,Segmento_Novo_Mercado,Segmento_Nivel_1,Segmento_Nivel_2,Segmento_Bovespa_Mais,Segmento_Bovespa_Mais_Nivel_2,Segmento_Tradicional
RDOR3.SA,RDOR3,RDOR,24821,6047087000139,REDE DOR SÃO LUIZ S.A.,REDE D OR,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",Novo Mercado,0,"1,379",1,0,0,0,0,0
RECV3.SA,RECV3,RECV,25780,3342704000130,PETRORECÔNCAVO S.A.,PETRORECSA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",Novo Mercado,0,"0,115",1,0,0,0,0,0
RENT3.SA,RENT3,RENT,19739,16670085000155,LOCALIZA RENT A CAR S.A.,LOCALIZA,Consumo Cíclico,Diversos,Aluguel de carros,Novo Mercado,0,"1,626",1,0,0,0,0,0
RENT4.SA,RENT4,RENT,19739,16670085000155,LOCALIZA RENT A CAR S.A.,LOCALIZA,Consumo Cíclico,Diversos,Aluguel de carros,Novo Mercado,0,"0,060",1,0,0,0,0,0
RIAA3.SA,RIAA3,RIAA,4669,8402943000152,GUARARAPES CONFECCOES S.A.,RIACHUELO,Nao Classificado,Tecidos. Vestuário e Calçados,Nao Classificado,Novo Mercado,0,"0,028",1,0,0,0,0,0
SANB11.SA,SANB11,SANB,20532,90400888000142,BCO SANTANDER (BRASIL) S.A.,SANTANDER BR,Financeiro,Intermediários Financeiros,Bancos,Tradicional,0,"0,360",0,0,0,0,0,1
SAPR11.SA,SAPR11,SAPR,18627,76484013000145,CIA SANEAMENTO DO PARANA - SANEPAR,SANEPAR,Utilidade Pública,Água e Saneamento,Água e Saneamento,Nivel 2,0,"0,271",0,0,1,0,0,0
SBFG3.SA,SBFG3,SBFG,24694,13217485000111,GRUPO SBF SA,GRUPO SBF,Consumo Cíclico,Comércio,Produtos Diversos,Novo Mercado,0,"0,054",1,0,0,0,0,0
SBSP3.SA,SBSP3,SBSP,14443,43776517000180,CIA SANEAMENTO BASICO EST SAO PAULO,SABESP,Utilidade Pública,Água e Saneamento,Água e Saneamento,Novo Mercado,1,"3,974",1,0,0,0,0,0
SEER3.SA,SEER3,SEER,23221,4986320000113,SER EDUCACIONAL S.A.,SER EDUCA,Consumo Cíclico,Diversos,Serviços Educacionais,Novo Mercado,0,"0,022",1,0,0,0,0,0
SIMH3.SA,SIMH3,SIMH,25003,7415333000120,SIMPAR S.A.,SIMPAR,Financeiro,Holdings Diversificadas,Holdings Diversificadas,Novo Mercado,0,"0,064",1,0,0,0,0,0
SLCE3.SA,SLCE3,SLCE,20745,89096457000155,SLC AGRICOLA S.A.,SLC AGRICOLA,Consumo não Cíclico,Agropecuária,Agricultura,Novo Mercado,0,"0,127",1,0,0,0,0,0
SMFT3.SA,SMFT3,SMFT,24260,7594978000178,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMART FIT,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,Novo Mercado,0,"0,282",1,0,0,0,0,0
SMTO3.SA,SMTO3,SMTO,20516,51466860000156,SAO MARTINHO S.A.,SAO MARTINHO,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,Novo Mercado,0,"0,065",1,0,0,0,0,0
SOJA3.SA,SOJA3,SOJA,25704,10807374000177,BOA SAFRA SEMENTES S.A.,BOA SAFRA,Consumo não Cíclico,Agropecuária,Agricultura,Novo Mercado,0,"0,013",1,0,0,0,0,0
SUZB3.SA,SUZB3,SUZB,13986,16404287000155,SUZANO S.A.,SUZANO S.A.,Materiais Básicos,Madeira e Papel,Papel e Celulose,Novo Mercado,0,"0,938",1,0,0,0,0,0
SYNE3.SA,SYNE3,SYNE,21040,8801621000186,SYN PROP E TECH S.A.,SYN PROP TEC,Financeiro,Exploração de Imóveis,Exploração de Imóveis,Novo Mercado,0,"0,008",1,0,0,0,0,0
TAEE11.SA,TAEE11,TAEE,20257,7859971000130,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,TAESA,Utilidade Pública,Energia Elétrica,Energia Elétrica,Nivel 2,0,"0,321",0,0,1,0,0,0
